person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_credit_hist,working_start_age,interest_burden,default_flag,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
10.985309671896763,123.0,35000,16.02,1,0.59,1,3,8750.0,-101.0,560700.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
9.169622538697624,5.0,1000,11.14,0,0.1,0,2,333.3333333333333,16.0,11140.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9.169622538697624,1.0,5500,12.87,1,0.57,0,3,1375.0,24.0,70785.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11.089820688682373,4.0,35000,15.23,1,0.53,0,2,11666.666666666666,19.0,533050.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
10.904137815028022,8.0,35000,14.27,1,0.55,1,4,7000.0,16.0,499450.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
9.200391041122515,2.0,2500,7.14,1,0.25,0,2,833.3333333333334,19.0,17850.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11.252871529635922,8.0,35000,12.42,1,0.45,0,3,8750.0,18.0,434700.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
11.276658679464603,5.0,35000,11.11,1,0.44,0,4,7000.0,19.0,388850.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
11.326607934898927,8.0,35000,8.9,1,0.42,0,2,11666.666666666666,16.0,311500.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9.210440366976517,6.0,1600,14.74,1,0.16,0,3,400.0,15.0,23584.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
11.350418300109132,6.0,35000,10.37,1,0.41,0,4,7000.0,16.0,362950.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
9.210440366976517,2.0,4500,8.63,1,0.45,0,2,1500.0,19.0,38835.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11.461642696843066,2.0,35000,7.9,1,0.37,0,2,11666.666666666666,21.0,276500.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11.591376136796182,4.0,35000,18.39,1,0.32,0,4,7000.0,22.0,643650.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
11.652696102959753,2.0,35000,7.9,0,0.3,0,4,7000.0,21.0,276500.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13.122365377402328,7.0,30000,10.65,0,0.06,0,3,7500.0,16.0,319500.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11.695255355062795,0.0,35000,7.9,0,0.29,0,4,7000.0,23.0,276500.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11.430760506915592,7.0,35000,20.25,1,0.32,0,4,7000.0,16.0,708750.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
11.635151947212842,8.0,35000,18.25,1,0.31,0,4,7000.0,15.0,638750.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9.287394001418473,8.0,1750,10.99,1,0.16,0,2,583.3333333333334,16.0,19232.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
